"","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
"fxstreet",0.000201577543885392,0,0,0,0.000400792140908286,0,0,0,0.000291117686839985,0,0,0,0,0
"fxtm",0.000403155087770784,0.000340387872773234,0,0,0,0,0.000306917887216745,0,0,0,0,0,0,0
"gambarini",0.0017266915746293,0,0,0,0,0,0,0,0,0,0,0,0,0
"gdp",0.000289083864224622,0.000585783354831023,0.00023323451175093,0,0,0.000101079075617886,0.000352122591142269,0.000300296759083837,0,0.000604198976886533,0,0.000102250548703127,0,0.000345178657372902
"gld",0.00103601494477758,0,0,0,0,0,0,0,0,0,0,0,0,0
"gold",0.000604732631656176,0,0,0,0,0,0,0.000348993784757608,0,0,0,0.0010694862470339,0,0
"group",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"haberkorn",0.000201577543885392,0.000680775745546469,0,0,0,0,0,0,0,0,0,0.000712990831355935,0,0
"hansen",0.000254635367080055,0,0,0,0,0,0.000387702654613673,0,0,0,0,0,0,0
"harriman",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"ice",0.00276270651940688,0,0,0,0,0,0,0,0,0,0,0,0,0
"iea",0.000254635367080055,0.000429982374338735,0,0,0,0,0,0,0,0,0,0,0,0
"ief",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"imf",0.00050927073416011,0,0,0,0,0,0,0,0,0,0,0.000450329631385564,0,0
"ine",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"institutional",0.00069067662985172,0,0,0,0,0,0,0,0,0,0,0,0,0
"intermediary",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"jasper",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"jim",0.000254635367080055,0,0,0.000461053526368468,0,0,0,0,0,0,0,0,0,0
"justin",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"kitco",0.00114752693463975,0.00138409781134753,0,0.000593645893269044,0,0,0,0,0,0,0,0.00028991898011832,0,0
"lagacy",0.00069067662985172,0,0,0,0,0,0,0,0,0,0,0,0,0
"lasalle",0.000254635367080055,0,0,0,0,0,0,0,0,0,0,0.000450329631385564,0,0
"lawler",0.00207202988955516,0,0,0,0,0,0,0,0,0,0,0,0,0
"leibovit",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"letter",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"leveraged",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"linda",0.00069067662985172,0,0,0,0,0,0,0,0,0,0,0,0,0
"lindafx",0.00069067662985172,0,0,0,0,0,0,0,0,0,0,0,0,0
"long",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"lukman",0.000403155087770784,0.000340387872773234,0,0,0,0,0.000306917887216745,0,0,0,0,0,0,0
"lundin",0.00069067662985172,0,0,0,0,0,0,0,0,0,0,0,0,0
"management",0.000201577543885392,0.000340387872773234,0,0,0,0,0,0,0,0,0,0.000712990831355935,0,0
"manager",0.00069067662985172,0,0,0,0,0,0,0,0,0,0,0,0,0
"mark",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"mcqueen",0.00138135325970344,0,0,0,0,0,0,0,0,0,0,0,0,0
"melek",0.00050927073416011,0.000429982374338735,0,0,0,0,0,0,0,0,0,0,0,0
"mexico",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"mib",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"nedoss",0.000254635367080055,0,0,0,0,0,0,0,0,0,0,0.000450329631385564,0,0
"net",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"newsletter",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"newsom",0.00069067662985172,0,0,0,0,0,0,0,0,0,0,0,0,0
"non",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"nonreportable",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"nymex",0.000403155087770784,0,0,0,0,0.000352411087625205,0.000306917887216745,0,0,0,0,0,0,0
"oih",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"oil",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"ole",0.000254635367080055,0,0,0,0,0,0.000387702654613673,0,0,0,0,0,0,0
"only",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"other",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"otunuga",0.000403155087770784,0.000340387872773234,0,0,0,0,0.000306917887216745,0,0,0,0,0,0,0
"pce",0.000604732631656176,0,0,0,0,0,0.000306917887216745,0.000697987569515216,0,0,0,0,0,0
"phil",0.000254635367080055,0,0,0,0,0,0.000387702654613673,0,0,0,0,0,0,0
"pmi",0.000554372980197936,0,0,0.00080301686407387,0,0.000436136047255819,0,0.000767834435512844,0,0,0,0.00235301717292868,0,0.000882593806019096
"pony",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"positions",0.00103601494477758,0,0,0,0,0,0,0,0,0,0,0,0,0
"price",0.000254635367080055,0,0,0,0,0,0,0,0,0,0,0.000900659262771127,0,0
"pta",0.00229171830372049,0,0,0,0,0.000222585127616064,0,0,0,0,0,0,0,0
"religare",0.000254635367080055,0,0,0,0,0,0,0,0,0,0,0.000900659262771127,0,0
"report",0.00069067662985172,0,0,0,0,0,0,0,0,0,0,0,0,0
"reportable",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"reportables",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"research",0.000201577543885392,0,0,0.000364984795752414,0,0,0.000306917887216745,0,0,0,0,0,0,0
"richard",0.000254635367080055,0,0,0,0.000506285829045555,0,0,0,0,0,0,0,0,0
"rjo",0.00016393241923425,0.000276819562269506,0,0,0,0,0.000249600182579423,0,0,0,0,0.000579837960236639,0,0
"rsi",0.000346900637069547,0.000292891677415512,0.00023323451175093,0.000418741941609651,0.000229911603468094,0,0.000176061295571134,0.00100098919694612,0.000166997621329655,0,0,0.000102250548703127,0,0
"sachdeva",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"securities",0.000254635367080055,0,0,0,0,0,0,0,0,0,0,0.000900659262771127,0,0
"shares",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"short",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"simona",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"spdr",0.00016393241923425,0,0,0.000593645893269044,0,0,0,0.000567636596123619,0,0,0,0.000869756940354959,0,0
"speculative",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"spy",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"states",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"sugandha",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"team",0.000254635367080055,0.000429982374338735,0,0,0,0,0,0,0,0,0,0,0,0
"thank",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
"the",0.00050927073416011,0.00128994712301621,0,0,0,0,0,0,0,0,0,0,0,0
"tlt",0.00034533831492586,0,0,0,0,0,0,0,0,0,0,0,0,0
